City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,wajir,1.7471,40.0573,303.15,48,93,3.46,KE,1701722130
243,coquimbo,-29.9533,-71.3436,291.0,67,75,5.66,CL,1701721846
244,champerico,14.3,-91.9167,307.45,70,79,3.04,GT,1701722132
245,sault ste. marie,46.5168,-84.3333,272.46,71,0,5.66,CA,1701722033
246,zalingei,12.9096,23.4741,296.24,21,100,2.87,SD,1701722133
247,pangai,-19.8,-174.35,302.21,70,40,5.66,TO,1701722134
248,khanty-mansiysk,61.0042,69.0019,250.21,70,0,1.0,RU,1701722135
249,hafar al-batin,28.4328,45.9708,288.47,38,0,0.0,SA,1701722136
250,kalmunai,7.4167,81.8167,298.64,88,90,5.35,LK,1701722137
251,aasiaat,68.7098,-52.8699,261.97,90,100,2.6,GL,1701722138
252,al bawiti,28.3492,28.8659,289.35,63,0,1.99,EG,1701722139
253,naze,28.3667,129.4833,292.66,85,99,8.86,JP,1701722139
254,pahrump,36.2083,-115.9839,290.65,32,100,1.34,US,1701721965
255,kangding,30.0513,101.9603,277.11,84,61,0.92,CN,1701722141
256,nieuw amsterdam,5.8833,-55.0833,306.24,66,20,5.14,SR,1701722142
257,papao,-17.75,-149.55,302.97,81,91,9.57,PF,1701721847
258,nar'yan-mar,67.6713,53.087,247.1,93,21,4.02,RU,1701721997
259,dongsheng,39.8161,109.9776,272.21,40,0,5.57,CN,1701722145
260,khandyga,62.6667,135.6,222.59,100,68,0.38,RU,1701722146
261,lerwick,60.1545,-1.1494,276.15,66,74,3.46,GB,1701722146
262,pokachi,61.7198,75.3683,241.55,99,67,1.39,RU,1701722147
263,prado,-17.3411,-39.2208,299.23,84,1,6.53,BR,1701722148
264,shenjiamen,29.9576,122.298,284.16,78,23,5.88,CN,1701722149
265,geneina,13.45,22.45,296.18,17,100,4.12,SD,1701722150
266,saipan,15.1355,145.701,299.54,89,100,7.2,MP,1701722151
267,trinitapoli,41.3572,16.0874,281.47,57,100,2.8,IT,1701722151
268,ancud,-41.8697,-73.8203,288.1,70,20,1.93,CL,1701721925
269,palikir - national government center,6.9248,158.1611,299.56,89,100,2.57,FM,1701722153
270,clarksdale,34.2001,-90.5709,285.88,47,3,5.13,US,1701722154
